Species,Year,SSS_mt,AveMass_g,SSB_g,EstAbun
Haddock,1934,54349,2622.7773175438597,54349000000,20721926.95752606
Haddock,1935,61952,2622.7773175438597,61952000000,23620762.458787736
Haddock,1936,73387,2622.7773175438597,73387000000,27980644.604904693
Haddock,1937,71944,2622.7773175438597,71944000000,27430464.461761117
Haddock,1938,81138,2622.7773175438597,81138000000,30935908.838796474
Haddock,1939,98049,2622.7773175438597,98049000000,37383654.09222751
Haddock,1940,106973,2622.7773175438597,106973000000,40786154.159734964
Haddock,1941,117949,2622.7773175438597,117949000000,44971030.97965448
Haddock,1942,125075,2622.7773175438597,125075000000,47687998.200750194
Haddock,1943,125593,2622.7773175438597,125593000000,47885498.76495558
Haddock,1944,120832,2622.7773175438597,120832000000,46070247.440280214
Haddock,1945,98256,2622.7773175438597,98256000000,37462578.06286557
Haddock,1946,118714,2622.7773175438597,118714000000,45262706.523316875
Haddock,1947,98949,2622.7773175438597,98949000000,37726801.790653855
Haddock,1948,91109,2622.7773175438597,91109000000,34737604.06213991
Haddock,1949,76466,2622.7773175438597,76466000000,29154591.008743268
Haddock,1950,76342,2622.7773175438597,76342000000,29107312.881404527
Haddock,1951,80633,2622.7773175438597,80633000000,30743364.852457248
Haddock,1952,94112,2622.7773175438597,94112000000,35882573.549222484
Haddock,1953,97517,2622.7773175438597,97517000000,37180815.67493549
Haddock,1954,127308,2622.7773175438597,127308000000,48539385.76806801
Haddock,1955,149250,2622.7773175438597,149250000000,56905326.65570231
Haddock,1956,149587,2622.7773175438597,149587000000,57033816.40500195
Haddock,1957,136307,2622.7773175438597,136307000000,51970481.47711099
Haddock,1958,133507,2622.7773175438597,133507000000,50902910.85978458
Haddock,1959,144253,2622.7773175438597,144253000000,55000094.37899514
Haddock,1960,169283,2622.7773175438597,169283000000,64543413.14745229
Haddock,1961,208203,2622.7773175438597,208203000000,79382644.72828937
Haddock,1962,210248,2622.7773175438597,210248000000,80162352.55415812
Haddock,1963,191591,2622.7773175438597,191591000000,73048900.76577997
Haddock,1964,190004,2622.7773175438597,190004000000,72443816.99088818
Haddock,1965,241984,2622.7773175438597,241984000000,92262502.95111202
Haddock,1966,196885,2622.7773175438597,196885000000,75067371.78296784
Haddock,1967,110587,2622.7773175438597,110587000000,42164082.806526974
Haddock,1968,78645,2622.7773175438597,78645000000,29985389.7141555
Haddock,1969,86768,2622.7773175438597,86768000000,33082488.330063503
Haddock,1970,62075,2622.7773175438597,62075000000,23667659.310906004
Haddock,1971,38932,2622.7773175438597,38932000000,14843806.883482764
Haddock,1972,28268,2622.7773175438597,28268000000,10777887.932351042
Haddock,1973,20990,2622.7773175438597,20990000000,8002966.877743326
Haddock,1974,32876,2622.7773175438597,32876000000,12534804.148293931
Haddock,1975,49259,2622.7773175438597,49259000000,18781236.08531484
Haddock,1976,50440,2622.7773175438597,50440000000,19231522.120694302
Haddock,1977,98249,2622.7773175438597,98249000000,37459909.13632225
Haddock,1978,135586,2622.7773175438597,135586000000,51695582.043149434
Haddock,1979,126467,2622.7773175438597,126467000000,48218733.307649605
Haddock,1980,130608,2622.7773175438597,130608000000,49797593.99563127
Haddock,1981,112130,2622.7773175438597,112130000000,42752390.471717924
Haddock,1982,88584,2622.7773175438597,88584000000,33774884.130443774
Haddock,1983,70051,2622.7773175438597,70051000000,26708710.469404373
Haddock,1984,47738,2622.7773175438597,47738000000,18201316.474974316
Haddock,1985,37887,2622.7773175438597,37887000000,14445374.278087728
Haddock,1986,40241,2622.7773175438597,40241000000,15342896.147082858
Haddock,1987,35059,2622.7773175438597,35059000000,13367127.954588056
Haddock,1988,29894,2622.7773175438597,29894000000,11397841.440841306
Haddock,1989,27990,2622.7773175438597,27990000000,10671893.421059348
Haddock,1990,34456,2622.7773175438597,34456000000,13137218.996642403
Haddock,1991,32724,2622.7773175438597,32724000000,12476850.314781925
Haddock,1992,24973,2622.7773175438597,24973000000,9521586.080890143
Haddock,1993,20246,2622.7773175438597,20246000000,7719298.113710881
Haddock,1994,24295,2622.7773175438597,24295000000,9263081.481408963
Haddock,1995,35506,2622.7773175438597,35506000000,13537557.978139807
Haddock,1996,44052,2622.7773175438597,44052000000,16795936.012308195
Haddock,1997,46278,2622.7773175438597,46278000000,17644654.65308269
Haddock,1998,57346,2622.7773175438597,57346000000,21864608.793285795
Haddock,1999,70823,2622.7773175438597,70823000000,27003054.939610083
Haddock,2000,89898,2622.7773175438597,89898000000,34275879.77014624
Haddock,2001,116091,2622.7773175438597,116091000000,44262621.62001432
Haddock,2002,141847,2622.7773175438597,141847000000,54082746.19853538
Haddock,2003,182068,2622.7773175438597,182068000000,69418016.84120877
Haddock,2004,173101,2622.7773175438597,173101000000,65999121.93922094
Haddock,2005,157509,2622.7773175438597,157509000000,60054278.70159474
Haddock,2006,205979,2622.7773175438597,205979000000,78534688.63795581
Haddock,2007,223026,2622.7773175438597,223026000000,85034287.32137127
Haddock,2008,209143,2622.7773175438597,209143000000,79741043.43553466
Haddock,2009,212990,2622.7773175438597,212990000000,81207809.20869705
Haddock,2010,172524,2622.7773175438597,172524000000,65779126.13700761
Haddock,2011,93404,2622.7773175438597,93404000000,35612630.693127096
Haddock,2012,81905,2622.7773175438597,81905000000,31228346.932899818
Haddock,2013,169245,2622.7773175438597,169245000000,64528924.689074285
Haddock,2014,191132,2622.7773175438597,191132000000,72873895.43958254
Haddock,2015,270314,2622.7773175438597,270314000000,103064029.94713242
Haddock,2016,303063,2622.7773175438597,303063000000,115550412.1424262
Haddock,2017,331475,2622.7773175438597,331475000000,126383203.70652544
Haddock,2018,223716,2622.7773175438597,223716000000,85297367.22349815
Haddock,2019,186870,2622.7773175438597,186870000000,71248900.44992356
Haddock,2020,152098,2622.7773175438597,152098000000,57991198.48361146
Haddock,2021,114617,2622.7773175438597,114617000000,43700621.94503606
Haddock,2022,26867,2622.7773175438597,26867000000,10243721.348467363
Scup,1984,11063,547.0116620110623,11063000000,20224431.704668615
Scup,1985,14399,547.0116620110623,14399000000,26323021.97555124
Scup,1986,13841,547.0116620110623,13841000000,25302934.03455828
Scup,1987,11602,547.0116620110623,11602000000,21209785.4684593
Scup,1988,9222,547.0116620110623,9222000000,16858872.74522769
Scup,1989,8605,547.0116620110623,8605000000,15730926.04344874
Scup,1990,10910,547.0116620110623,10910000000,19944730.172460865
Scup,1991,8932,547.0116620110623,8932000000,16328719.514245689
Scup,1992,7308,547.0116620110623,7308000000,13359861.420746472
Scup,1993,5535,547.0116620110623,5535000000,10118614.253397882
Scup,1994,4084,547.0116620110623,4084000000,7466019.983898275
Scup,1995,3385,547.0116620110623,3385000000,6188167.885772688
Scup,1996,5714,547.0116620110623,5714000000,10445846.76493505
Scup,1997,6123,547.0116620110623,6123000000,11193545.632078633
Scup,1998,7224,547.0116620110623,7224000000,13206299.79522065
Scup,1999,14923,547.0116620110623,14923000000,27280954.02049803
Scup,2000,29234,547.0116620110623,29234000000,53443101.912165076
Scup,2001,54163,547.0116620110623,54163000000,99016170.5161318
Scup,2002,76210,547.0116620110623,76210000000,139320612.87289116
Scup,2003,95129,547.0116620110623,95129000000,173906712.79340327
Scup,2004,107169,547.0116620110623,107169000000,195917212.45210436
Scup,2005,110204,547.0116620110623,110204000000,201465540.23151946
Scup,2006,120809,547.0116620110623,120809000000,220852695.45415443
Scup,2007,133607,547.0116620110623,133607000000,244248905.9717671
Scup,2008,158550,547.0116620110623,158550000000,289847568.17998815
Scup,2009,178524,547.0116620110623,178524000000,326362328.992521
Scup,2010,216605,547.0116620110623,216605000000,395978760.6788163
Scup,2011,220347,547.0116620110623,220347000000,402819565.4730738
Scup,2012,223101,547.0116620110623,223101000000,407854193.0528132
Scup,2013,229544,547.0116620110623,229544000000,419632735.35356164
Scup,2014,224345,547.0116620110623,224345000000,410128367.602267
Scup,2015,202517,547.0116620110623,202517000000,370224282.34062856
Scup,2016,224568,547.0116620110623,224568000000,410536037.1557463
Scup,2017,242893,547.0116620110623,242893000000,444036237.0100401
Scup,2018,240870,547.0116620110623,240870000000,440337961.19529325
Scup,2019,226966,547.0116620110623,226966000000,414919855.94159055
Scup,2020,216046,547.0116620110623,216046000000,394956844.6232338
Scup,2021,184801,547.0116620110623,184801000000,337837404.27139693
Scup,2022,159050,547.0116620110623,159050000000,290761625.4747847
